SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:MAHEPC-EQ,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,10,1,INE215D01010,10
NSE:MAHESHWARI-EQ,Maheshwari Logistics Limited,EQ,15-APR-2019,10,1,INE263W01010,10
NSE:MAHLIFE-EQ,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10
NSE:MAHLOG-EQ,Mahindra Logistics Limited,EQ,10-NOV-2017,10,1,INE766P01016,10
NSE:MAHSCOOTER-EQ,Maharashtra Scooters Limited,EQ,08-FEB-1995,10,1,INE288A01013,10
NSE:MAHSEAMLES-EQ,Maharashtra Seamless Limited,EQ,25-AUG-2004,5,1,INE271B01025,5
NSE:MAITHANALL-EQ,Maithan Alloys Limited,EQ,05-JUL-2011,10,1,INE683C01011,10
NSE:MALLCOM-EQ,Mallcom (India) Limited,EQ,02-FEB-2022,10,1,INE389C01015,10
NSE:MALUPAPER-EQ,Malu Paper Mills Limited,EQ,05-APR-2006,10,1,INE383H01017,10
NSE:MAMATA-EQ,Mamata Machinery Limited,EQ,27-DEC-2024,10,1,INE0TO701015,10
NSE:MANAKALUCO-EQ,Manaksia Aluminium Company Limited,EQ,30-MAR-2015,1,1,INE859Q01017,1
NSE:MANAKCOAT-EQ,Manaksia Coated Metals & Industries Limited,EQ,30-MAR-2015,1,1,INE830Q01018,1
NSE:MANAKSIA-EQ,Manaksia Limited,EQ,08-JAN-2008,2,1,INE015D01022,2
NSE:MANAKSTEEL-EQ,Manaksia Steels Limited,BE,30-MAR-2015,1,1,INE824Q01011,1
NSE:MANALIPETC-EQ,Manali Petrochemicals Limited,EQ,06-DEC-2006,5,1,INE201A01024,5
NSE:MANAPPURAM-EQ,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2
NSE:MANBA-EQ,Manba Finance Limited,EQ,30-SEP-2024,10,1,INE939X01013,10
NSE:MANCREDIT-EQ,Mangal Credit and Fincorp Limited,EQ,16-AUG-2024,10,1,INE545L01039,10
NSE:MANGALAM-EQ,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005,10,1,INE584F01014,10
NSE:MANGCHEFER-EQ,Mangalore Chemicals & Fertilizers Limited,EQ,22-OCT-2007,10,1,INE558B01017,10
NSE:MANGLMCEM-EQ,Mangalam Cement Limited,EQ,03-JAN-1996,10,1,INE347A01017,10
NSE:MANINDS-EQ,Man Industries (India) Limited,EQ,24-JUN-2005,5,1,INE993A01026,5
NSE:MANINFRA-EQ,Man Infraconstruction Limited,EQ,11-MAR-2010,2,1,INE949H01023,2
NSE:MANKIND-EQ,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1
NSE:MANOMAY-EQ,Manomay Tex India Limited,EQ,18-JAN-2023,10,1,INE784W01015,10
NSE:MANORAMA-EQ,Manorama Industries Limited,EQ,01-JUL-2022,2,1,INE00VM01036,2
NSE:MANORG-EQ,Mangalam Organics Limited,BE,02-NOV-2021,10,1,INE370D01013,10
NSE:MANUGRAPH-EQ,Manugraph India Limited,BE,14-SEP-2006,2,1,INE867A01022,2
NSE:MANYAVAR-EQ,Vedant Fashions Limited,EQ,16-FEB-2022,1,1,INE825V01034,1
NSE:MAPMYINDIA-EQ,C.E. Info Systems Limited,EQ,21-DEC-2021,2,1,INE0BV301023,2
NSE:MARALOVER-EQ,Maral Overseas Limited,EQ,08-FEB-1995,10,1,INE882A01013,10
NSE:MARATHON-EQ,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,5,1,INE182D01020,5
NSE:MARICO-EQ,Marico Limited,EQ,01-MAY-1996,1,1,INE196A01026,1
NSE:MARINE-EQ,Marine Electricals (India) Limited,BE,02-DEC-2020,2,1,INE01JE01028,2
NSE:MARKSANS-EQ,Marksans Pharma Limited,EQ,21-JAN-2002,1,1,INE750C01026,1
NSE:MARUTI-EQ,Maruti Suzuki India Limited,EQ,09-JUL-2003,5,1,INE585B01010,5
NSE:MASFIN-EQ,MAS Financial Services Limited,EQ,18-OCT-2017,10,1,INE348L01012,10
NSE:MASKINVEST-EQ,Mask Investments Limited,EQ,14-OCT-2016,10,1,INE885F01015,10
NSE:MASTEK-EQ,Mastek Limited,EQ,10-MAY-1995,5,1,INE759A01021,5
NSE:MASTERTR-EQ,Master Trust Limited,EQ,12-NOV-2024,1,1,INE677D01037,1
NSE:MATRIMONY-EQ,Matrimony.Com Limited,EQ,21-SEP-2017,5,1,INE866R01028,5
NSE:MAWANASUG-EQ,Mawana Sugars Limited,EQ,20-MAR-2009,10,1,INE636A01039,10
NSE:MAXESTATES-EQ,Max Estates Limited,EQ,30-OCT-2023,10,1,INE03EI01018,10
NSE:MAXHEALTH-EQ,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,INE027H01010,10
NSE:MAXIND-EQ,Max India Limited,EQ,28-AUG-2020,10,1,INE0CG601016,10
NSE:MAYURUNIQ-EQ,Mayur Uniquoters Ltd,EQ,25-SEP-2012,5,1,INE040D01038,5
NSE:MAZDA-EQ,Mazda Limited,EQ,01-NOV-2016,2,1,INE885E01042,2
NSE:MAZDOCK-EQ,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020,5,1,INE249Z01020,5
NSE:MBAPL-EQ,Madhya Bharat Agro Products Limited,EQ,22-AUG-2019,10,1,INE900L01010,10
NSE:MBEL-EQ,M & B Engineering Limited,EQ,06-AUG-2025,10,1,INE08N601015,10
NSE:MBLINFRA-EQ,MBL Infrastructure Limited,EQ,11-JAN-2010,10,1,INE912H01013,10
NSE:MCL-EQ,Madhav Copper Limited,EQ,19-AUG-2020,5,1,INE813V01022,5
NSE:MCLEODRUSS-EQ,Mcleod Russel India Limited,EQ,29-JUL-2005,5,1,INE942G01012,5
NSE:MCLOUD-EQ,Magellanic Cloud Limited,EQ,07-FEB-2025,2,1,INE613C01026,2
NSE:MCX-EQ,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10
NSE:MEDANTA-EQ,Global Health Limited,EQ,16-NOV-2022,2,1,INE474Q01031,2
NSE:MEDIASSIST-EQ,Medi Assist Healthcare Services Limited,EQ,23-JAN-2024,5,1,INE456Z01021,5
NSE:MEDICAMEQ-EQ,Medicamen Biotech Limited,EQ,27-OCT-2021,10,1,INE646B01010,10
NSE:MEDICO-EQ,Medico Remedies Limited,EQ,26-MAY-2022,2,1,INE630Y01024,2
NSE:MEDPLUS-EQ,Medplus Health Services Limited,EQ,23-DEC-2021,2,1,INE804L01022,2
NSE:MEGASOFT-EQ,Megasoft Limited,BE,19-JUL-2007,10,1,INE933B01012,10
NSE:MEGASTAR-EQ,Megastar Foods Limited,EQ,16-FEB-2022,10,1,INE00EM01016,10
NSE:MENONBE-EQ,Menon Bearings Limited,EQ,09-MAR-2015,1,1,INE071D01033,1
NSE:MEP-EQ,MEP Infrastructure Developers Limited,BZ,06-MAY-2015,10,1,INE776I01010,10
NSE:METROBRAND-EQ,Metro Brands Limited,EQ,22-DEC-2021,5,1,INE317I01021,5
NSE:METROPOLIS-EQ,Metropolis Healthcare Limited,EQ,15-APR-2019,2,1,INE112L01020,2
NSE:MFML-EQ,Mahalaxmi Fabric Mills Limited,BE,27-AUG-2024,10,1,INE0US801024,10
NSE:MFSL-EQ,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2
NSE:MGEL-EQ,Mangalam Global Enterprise Limited,EQ,23-DEC-2020,1,1,INE0APB01032,1
NSE:MGL-EQ,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10
NSE:MHLXMIRU-EQ,Mahalaxmi Rubtech Limited,EQ,27-JAN-2022,10,1,INE112D01035,10
NSE:MHRIL-EQ,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,10,1,INE998I01010,10
NSE:MICEL-EQ,MIC Electronics Limited,EQ,17-DEC-2021,2,1,INE287C01037,2
NSE:MIDHANI-EQ,Mishra Dhatu Nigam Limited,EQ,04-APR-2018,10,1,INE099Z01011,10
NSE:MINDACORP-EQ,Minda Corporation Limited,EQ,16-OCT-2014,2,1,INE842C01021,2
NSE:MINDTECK-EQ,Mindteck (India) Limited,BE,02-AUG-2016,10,1,INE110B01017,10
NSE:MIRCELECTR-EQ,MIRC Electronics Limited,BE,24-MAY-2004,1,1,INE831A01028,1
NSE:MIRZAINT-EQ,Mirza International Limited,EQ,28-APR-1999,2,1,INE771A01026,2
NSE:MITCON-EQ,MITCON Consultancy & Engineering Services Limited,EQ,17-MAR-2022,10,1,INE828O01033,10
NSE:MITTAL-EQ,Mittal Life Style Limited,EQ,29-APR-2020,1,1,INE997Y01027,1
NSE:MKPL-EQ,M K Proteins Limited,BE,13-JUN-2023,1,1,INE964W01021,1
NSE:MMFL-EQ,MM Forgings Limited,EQ,20-DEC-2006,10,1,INE227C01017,10
NSE:MMP-EQ,MMP Industries Limited,EQ,09-JAN-2020,10,1,INE511Y01018,10
NSE:MMTC-EQ,MMTC Limited,EQ,09-APR-2012,1,1,INE123F01029,1
NSE:MOBIKWIK-EQ,One Mobikwik Systems Limited,EQ,18-DEC-2024,2,1,INE0HLU01028,2
NSE:MODIRUBBER-EQ,Modi Rubber Limited,BE,07-FEB-1996,10,1,INE832A01018,10
NSE:MODISONLTD-EQ,MODISON LIMITED,EQ,03-MAY-2021,1,1,INE737D01021,1
NSE:MODTHREAD-EQ,Modern Threads (India) Limited,EQ,22-NOV-1995,10,50,INE794W01014,10
NSE:MOHITIND-EQ,Mohit Industries Limited,EQ,14-MAR-2013,10,1,INE954E01012,10
NSE:MOIL-EQ,MOIL Limited,EQ,15-DEC-2010,10,1,INE490G01020,10
NSE:MOKSH-EQ,Moksh Ornaments Limited,EQ,21-MAY-2021,2,1,INE514Y01020,2
NSE:MOL-EQ,Meghmani Organics Limited,EQ,18-AUG-2021,1,1,INE0CT101020,1
NSE:MOLDTECH-EQ,Mold-Tek Technologies Limited,EQ,07-JUL-2016,2,1,INE835B01035,2
NSE:MOLDTKPAC-EQ,Mold-Tek Packaging Limited,EQ,23-FEB-2015,5,1,INE893J01029,5
NSE:MONARCH-EQ,Monarch Networth Capital Limited,EQ,06-JAN-2022,10,1,INE903D01011,10
NSE:MONTECARLO-EQ,Monte Carlo Fashions Limited,EQ,19-DEC-2014,10,1,INE950M01013,10
NSE:MORARJEE-EQ,Morarjee Textiles Limited,BZ,14-SEP-2012,7,1,INE161G01027,7
NSE:MOREPENLAB-EQ,Morepen Laboratories Limited,EQ,24-NOV-1999,2,1,INE083A01026,2
NSE:MOSCHIP-EQ,Moschip Technologies Limited,EQ,05-FEB-2025,2,1,INE935B01025,2
NSE:MOTHERSON-EQ,Samvardhana Motherson International Limited,EQ,14-AUG-1996,1,1,INE775A01035,1
NSE:MOTILALOFS-EQ,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1,1,INE338I01027,1
NSE:MOTISONS-EQ,Motisons Jewellers Limited,EQ,26-DEC-2023,1,1,INE0FRK01020,1
NSE:MOTOGENFIN-EQ,The Motor & General Finance Limited,EQ,08-FEB-1995,5,1,INE861B01023,5
NSE:MPHASIS-EQ,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10
NSE:MPSLTD-EQ,MPS Limited,EQ,21-JAN-2002,10,1,INE943D01017,10
NSE:MRF-EQ,MRF Limited,EQ,18-SEP-1996,10,1,INE883A01011,10
NSE:MRPL-EQ,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005,10,1,INE103A01014,10
NSE:MSPL-EQ,MSP Steel & Power Limited,EQ,18-JUL-2005,10,1,INE752G01015,10
NSE:MSTCLTD-EQ,Mstc Limited,EQ,29-MAR-2019,10,1,INE255X01014,10
NSE:MSUMI-EQ,Motherson Sumi Wiring India Limited,EQ,28-MAR-2022,1,1,INE0FS801015,1
NSE:MTARTECH-EQ,Mtar Technologies Limited,EQ,15-MAR-2021,10,1,INE864I01014,10
NSE:MTEDUCARE-EQ,MT Educare Limited,BE,12-APR-2012,10,1,INE472M01018,10
NSE:MTNL-EQ,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999,10,1,INE153A01019,10
NSE:MUFIN-EQ,Mufin Green Finance Limited,EQ,06-NOV-2023,1,1,INE08KJ01020,1
NSE:MUFTI-EQ,Credo Brands Marketing Limited,EQ,27-DEC-2023,2,1,INE220Q01020,2
NSE:MUKANDLTD-EQ,Mukand Limited,EQ,23-FEB-2004,10,1,INE304A01026,10
NSE:MUKKA-EQ,Mukka Proteins Limited,EQ,07-MAR-2024,1,1,INE0CG401037,1
NSE:MUKTAARTS-EQ,Mukta Arts Limited,EQ,12-SEP-2000,5,1,INE374B01019,5
NSE:MUNJALAU-EQ,Munjal Auto Industries Limited,EQ,19-JUL-2006,2,1,INE672B01032,2
NSE:MUNJALSHOW-EQ,Munjal Showa Limited,EQ,12-MAY-2003,2,1,INE577A01027,2
NSE:MURUDCERA-EQ,Murudeshwar Ceramics Limited,EQ,28-MAY-2004,10,1,INE692B01014,10
NSE:MUTHOOTCAP-EQ,Muthoot Capital Services Limited,EQ,24-AUG-2015,10,1,INE296G01013,10
NSE:MUTHOOTFIN-EQ,Muthoot Finance Limited,EQ,06-MAY-2011,10,1,INE414G01012,10
NSE:MUTHOOTMF-EQ,Muthoot Microfin Limited,EQ,26-DEC-2023,10,1,INE046W01019,10
NSE:MVGJL-EQ,Manoj Vaibhav Gems N Jewellers Limited,EQ,03-OCT-2023,10,1,INE0KNT01012,10
NSE:NACLIND-EQ,NACL Industries Limited,BE,07-APR-2017,1,1,INE295D01020,1
NSE:NAGAFERT-EQ,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-JUN-2016,1,1,INE454M01024,1
NSE:NAGREEKCAP-EQ,Nagreeka Capital & Infrastructure Limited,EQ,18-SEP-2007,5,1,INE245I01016,5
NSE:NAGREEKEXP-EQ,Nagreeka Exports Limited,EQ,18-JUN-2007,5,1,INE123B01028,5
NSE:NAHARCAP-EQ,Nahar Capital and Financial Services Limited,BE,11-MAR-2008,5,1,INE049I01012,5
NSE:NAHARINDUS-EQ,Nahar Industrial Enterprises Limited,BE,15-DEC-2005,10,1,INE289A01011,10
NSE:NAHARPOLY-EQ,Nahar Poly Films Limited,BE,23-MAR-2007,5,1,INE308A01027,5
NSE:NAHARSPING-EQ,Nahar Spinning Mills Limited,EQ,23-MAR-2007,5,1,INE290A01027,5
NSE:NAM-INDIA-EQ,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,10,1,INE298J01013,10
NSE:NARMADA-EQ,Narmada Agrobase Limited,EQ,27-OCT-2022,10,1,INE117Z01011,10
NSE:NATCAPSUQ-EQ,Natural Capsules Limited,EQ,14-FEB-2025,10,1,INE936B01015,10
NSE:NATCOPHARM-EQ,Natco Pharma Limited,EQ,27-DEC-1995,2,1,INE987B01026,2
NSE:NATHBIOGEN-EQ,Nath Bio-Genes (India) Limited,BE,28-JAN-2014,10,1,INE448G01010,10
NSE:NATIONALUM-EQ,National Aluminium Company Limited,EQ,28-APR-1999,5,1,INE139A01034,5
NSE:NAUKRI-EQ,Info Edge (India) Limited,EQ,21-NOV-2006,2,1,INE663F01032,2
NSE:NAVA-EQ,NAVA LIMITED,EQ,03-APR-1996,1,1,INE725A01030,1
NSE:NAVINFLUOR-EQ,Navin Fluorine International Limited,EQ,01-JUN-2007,2,1,INE048G01026,2
NSE:NAVKARCORP-EQ,Navkar Corporation Limited,EQ,09-SEP-2015,10,1,INE278M01019,10
NSE:NAVKARURB-EQ,Navkar Urbanstructure Limited,BE,17-JAN-2025,1,1,INE268H01044,1
NSE:NAVNETEDUL-EQ,Navneet Education Limited,EQ,08-FEB-1995,2,1,INE060A01024,2
NSE:NAZARA-EQ,Nazara Technologies Limited,EQ,30-MAR-2021,4,1,INE418L01021,4
NSE:NBCC-EQ,NBCC (India) Limited,EQ,12-APR-2012,1,1,INE095N01031,1
NSE:NBIFIN-EQ,N. B. I. Industrial Finance Company Limited,EQ,23-NOV-2016,5,1,INE365I01020,5
NSE:NCC-EQ,NCC Limited,EQ,14-OCT-2003,2,1,INE868B01028,2
NSE:NCLIND-EQ,NCL Industries Limited,EQ,03-APR-2007,10,1,INE732C01016,10
NSE:NDGL-EQ,Naga Dhunseri Group Limited,EQ,29-AUG-2016,10,1,INE756C01015,10
NSE:NDL-EQ,Nandan Denim Limited,EQ,23-MAR-2012,1,1,INE875G01048,1
NSE:NDLVENTURE-EQ,NDL Ventures Limited,BE,24-APR-2007,10,1,INE353A01023,10
NSE:NDRAUTO-EQ,Ndr Auto Components Limited,EQ,30-JUL-2020,10,1,INE07OG01012,10
NSE:NDTV-EQ,New Delhi Television Limited,BE,19-MAY-2004,4,1,INE155G01029,4
NSE:NECCLTD-EQ,North Eastern Carrying Corporation Limited,EQ,02-MAR-2016,10,1,INE553C01016,10
NSE:NECLIFE-EQ,Nectar Lifesciences Limited,BE,18-JUL-2005,1,1,INE023H01027,1
NSE:NELCAST-EQ,Nelcast Limited,EQ,27-JUN-2007,2,1,INE189I01024,2
NSE:NELCO-EQ,NELCO Limited,EQ,28-MAY-2003,10,1,INE045B01015,10
NSE:NEOGEN-EQ,Neogen Chemicals Limited,EQ,08-MAY-2019,10,1,INE136S01016,10
NSE:NESCO-EQ,Nesco Limited,EQ,08-APR-2008,2,1,INE317F01035,2
NSE:NESTLEIND-EQ,Nestle India Limited,EQ,01-AUG-2023,1,1,INE239A01024,1
NSE:NETWEB-EQ,Netweb Technologies India Limited,EQ,27-JUL-2023,2,1,INE0NT901020,2
NSE:NETWORK18-EQ,Network18 Media & Investments Limited,EQ,02-FEB-2007,5,1,INE870H01013,5
NSE:NEULANDLAB-EQ,Neuland Laboratories Limited,EQ,13-OCT-2008,10,1,INE794A01010,10
NSE:NEWGEN-EQ,Newgen Software Technologies Limited,EQ,29-JAN-2018,10,1,INE619B01017,10
NSE:NEXTMEDIA-EQ,Next Mediaworks Limited,EQ,04-APR-2001,10,1,INE747B01016,10
NSE:NFL-EQ,National Fertilizers Limited,EQ,28-DEC-2006,10,1,INE870D01012,10
NSE:NGIL-EQ,Nakoda Group of Industries Limited,EQ,20-AUG-2021,10,1,INE236Y01012,10
NSE:NGLFINE-EQ,NGL Fine-Chem Limited,EQ,08-JUL-2022,5,1,INE887E01022,5
NSE:NH-EQ,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,10,1,INE410P01011,10
NSE:NHPC-EQ,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10
NSE:NIACL-EQ,The New India Assurance Company Limited,EQ,13-NOV-2017,5,1,INE470Y01017,5
NSE:NIBE-EQ,NIBE Limited,EQ,07-FEB-2025,10,1,INE149O01018,10
NSE:NIBL-EQ,NRB Industrial Bearings Limited,BE,09-APR-2013,2,1,INE047O01014,2
NSE:NIITLTD-EQ,NIIT Limited,EQ,16-AUG-2004,2,1,INE161A01038,2
NSE:NIITMTS-EQ,NIIT Learning Systems Limited,EQ,08-AUG-2023,2,1,INE342G01023,2
NSE:NILAINFRA-EQ,Nila Infrastructures Limited,EQ,21-MAY-2015,1,1,INE937C01029,1
NSE:NILASPACES-EQ,Nila Spaces Limited,EQ,28-DEC-2018,1,1,INE00S901012,1
NSE:NILKAMAL-EQ,Nilkamal Limited,EQ,01-NOV-1995,10,1,INE310A01015,10
NSE:NINSYS-EQ,NINtec Systems Limited,EQ,21-FEB-2023,10,1,INE395U01014,10
NSE:NIPPOBATRY-EQ,Indo-National Limited,EQ,06-OCT-1999,5,1,INE567A01028,5
NSE:NIRAJ-EQ,Niraj Cement Structurals Limited,EQ,01-OCT-2020,10,1,INE368I01016,10
NSE:NIRAJISPAT-EQ,Niraj Ispat Industries Limited,BE,27-OCT-2016,10,1,INE326T01011,10
NSE:NITCO-EQ,Nitco Limited,EQ,21-MAR-2006,10,1,INE858F01012,10
NSE:NITINSPIN-EQ,Nitin Spinners Limited,EQ,02-FEB-2006,10,1,INE229H01012,10
NSE:NITIRAJ-EQ,Nitiraj Engineers Limited,EQ,22-APR-2021,10,1,INE439T01012,10
NSE:NIVABUPA-EQ,Niva Bupa Health Insurance Company Limited,EQ,14-NOV-2024,10,1,INE995S01015,10
NSE:NKIND-EQ,NK Industries Limited,EQ,07-JUL-1995,10,1,INE542C01019,10
NSE:NLCINDIA-EQ,NLC India Limited,EQ,23-AUG-2000,10,1,INE589A01014,10
NSE:NMDC-EQ,NMDC Limited,EQ,03-MAR-2008,1,1,INE584A01023,1
NSE:NOCIL-EQ,NOCIL Limited,EQ,17-JAN-1996,10,1,INE163A01018,10
NSE:NOIDATOLL-EQ,Noida Toll Bridge Company Limited,BE,06-DEC-2002,10,1,INE781B01015,10
NSE:NORBTEAEXP-EQ,Norben Tea & Exports Limited,BE,26-JUN-1996,10,1,INE369C01017,10
NSE:NORTHARC-EQ,Northern Arc Capital Limited,EQ,24-SEP-2024,10,1,INE850M01015,10
NSE:NOVAAGRI-EQ,Nova Agritech Limited,EQ,31-JAN-2024,2,1,INE02H701025,2
NSE:NPST-EQ,Network People Services Technologies Limited,EQ,30-APR-2025,10,1,INE0FFK01017,10
NSE:NRAIL-EQ,N R Agarwal Industries Limited,BE,05-APR-2017,10,1,INE740D01017,10
NSE:NRBBEARING-EQ,NRB Bearing Limited,EQ,08-MAR-2000,2,1,INE349A01021,2
NSE:NRL-EQ,Nupur Recyclers Limited,BE,12-JAN-2023,10,1,INE0JM501013,10
NSE:NSIL-EQ,Nalwa Sons Investments Limited,EQ,17-NOV-2003,10,1,INE023A01030,10
NSE:NSLNISP-EQ,NMDC Steel Limited,EQ,20-FEB-2023,10,1,INE0NNS01018,10
NSE:NTPC-EQ,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10
NSE:NTPCGREEN-EQ,NTPC Green Energy Limited,EQ,27-NOV-2024,10,1,INE0ONG01011,10
NSE:NUCLEUS-EQ,Nucleus Software Exports Limited,EQ,19-DEC-2002,10,1,INE096B01018,10
NSE:NURECA-EQ,Nureca Limited,EQ,25-FEB-2021,10,1,INE0DSF01015,10
NSE:NUVAMA-EQ,Nuvama Wealth Management Limited,EQ,26-SEP-2023,10,1,INE531F01015,10
NSE:NUVOCO-EQ,Nuvoco Vistas Corporation Limited,EQ,23-AUG-2021,10,1,INE118D01016,10
NSE:NYKAA-EQ,FSN E-Commerce Ventures Limited,EQ,10-NOV-2021,1,1,INE388Y01029,1
NSE:OAL-EQ,Oriental Aromatics Limited,EQ,11-JUL-2019,5,1,INE959C01023,5
NSE:OBCL-EQ,Orissa Bengal Carrier Limited,EQ,07-APR-2022,10,1,INE426Z01016,10
NSE:OBEROIRLTY-EQ,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10
NSE:OCCLLTD-EQ,OCCL Limited,BE,29-OCT-2024,2,1,INE0PK601023,2
NSE:ODIGMA-EQ,Odigma Consultancy Solutions Limited,BE,12-DEC-2024,1,1,INE054301028,1
NSE:OFSS-EQ,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5
NSE:OIL-EQ,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10
NSE:OILCOUNTUB-EQ,Oil Country Tubular Limited,EQ,30-AUG-1995,10,1,INE591A01010,10
NSE:OLAELEC-EQ,Ola Electric Mobility Limited,EQ,09-AUG-2024,10,1,INE0LXG01040,10
NSE:OLECTRA-EQ,Olectra Greentech Limited,EQ,20-MAR-2002,4,1,INE260D01016,4
NSE:OMAXAUTO-EQ,Omax Autos Limited,BE,20-FEB-2003,10,1,INE090B01011,10
NSE:OMAXE-EQ,Omaxe Limited,EQ,09-AUG-2007,10,1,INE800H01010,10
NSE:OMINFRAL-EQ,OM INFRA LIMITED,EQ,17-JUN-2011,1,1,INE239D01028,1
NSE:OMKARCHEM-EQ,Omkar Speciality Chemicals Limited,BZ,10-FEB-2011,10,1,INE474L01016,10
NSE:ONELIFECAP-EQ,Onelife Capital Advisors Limited,BE,17-OCT-2011,10,1,INE912L01015,10
NSE:ONEPOINT-EQ,One Point One Solutions Limited,BE,09-MAY-2019,2,1,INE840Y01029,2
NSE:ONESOURCE-EQ,Onesource Specialty Pharma Limited,EQ,24-JAN-2025,1,1,INE013P01021,1
NSE:ONGC-EQ,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5
NSE:ONMOBILE-EQ,OnMobile Global Limited,EQ,19-FEB-2008,10,1,INE809I01019,10
NSE:ONWARDTEC-EQ,Onward Technologies Limited,BE,07-MAR-2001,10,1,INE229A01017,10
NSE:OPTIEMUS-EQ,Optiemus Infracom Limited,EQ,08-AUG-2017,10,1,INE350C01017,10
NSE:ORBTEXP-EQ,Orbit Exports Limited,BE,05-NOV-2013,10,1,INE231G01010,10
NSE:ORCHASP-EQ,Orchasp Limited,EQ,07-FEB-2025,2,1,INE215B01022,2
NSE:ORCHPHARMA-EQ,Orchid Pharma Limited,EQ,02-NOV-2020,10,1,INE191A01027,10
NSE:ORICONENT-EQ,Oricon Enterprises Limited,EQ,24-JUL-2015,2,1,INE730A01022,2
NSE:ORIENTALTL-EQ,Oriental Trimex Limited,BE,07-MAR-2007,10,1,INE998H01012,10
NSE:ORIENTBELL-EQ,Orient Bell Limited,EQ,14-FEB-2007,10,1,INE607D01018,10
NSE:ORIENTCEM-EQ,Orient Cement Limited,EQ,12-JUL-2013,1,1,INE876N01018,1
NSE:ORIENTCER-EQ,ORIENT CERATECH LIMITED,EQ,15-DEC-2005,1,1,INE569C01020,1
NSE:ORIENTELEC-EQ,Orient Electric Limited,EQ,14-MAY-2018,1,1,INE142Z01019,1
NSE:ORIENTHOT-EQ,Oriental Hotels Limited,EQ,27-AUG-1998,1,1,INE750A01020,1
NSE:ORIENTLTD-EQ,Orient Press Limited,EQ,03-MAR-2010,10,1,INE609C01024,10
NSE:ORIENTPPR-EQ,Orient Paper & Industries Limited,EQ,29-MAR-1995,1,1,INE592A01026,1
NSE:ORIENTTECH-EQ,Orient Technologies Limited,EQ,28-AUG-2024,10,1,INE0PPK01015,10
NSE:ORISSAMINE-EQ,The Orissa Minerals Development Company Limited,EQ,29-SEP-2010,1,1,INE725E01024,1
NSE:ORTEL-EQ,Ortel Communications Limited,BZ,19-MAR-2015,10,1,INE849L01019,10
NSE:ORTINGLOBE-EQ,ORTIN GLOBAL LIMITED,BE,30-MAR-2021,10,1,INE749B01020,10
NSE:OSIAHYPER-EQ,Osia Hyper Retail Limited,BE,01-DEC-2022,1,1,INE06IR01021,1
NSE:OSWALAGRO-EQ,Oswal Agro Mills Limited,EQ,29-MAR-1995,10,1,INE142A01012,10
NSE:OSWALGREEN-EQ,Oswal Greentech Limited,EQ,28-AUG-1996,10,1,INE143A01010,10
NSE:OSWALPUMPS-EQ,Oswal Pumps Limited,EQ,20-JUN-2025,1,1,INE0BYP01024,1
NSE:OSWALSEEDS-EQ,ShreeOswal Seeds And Chemicals Limited,EQ,28-FEB-2023,2,1,INE00IK01029,2
NSE:PAGEIND-EQ,Page Industries Limited,EQ,16-MAR-2007,10,1,INE761H01022,10
NSE:PAISALO-EQ,Paisalo Digital Limited,EQ,17-OCT-2011,1,1,INE420C01059,1
NSE:PAKKA-EQ,PAKKA LIMITED,EQ,11-JUL-2023,10,1,INE551D01018,10
NSE:PALASHSECU-EQ,Palash Securities Limited,EQ,28-JUL-2017,10,1,INE471W01019,10
NSE:PALREDTEC-EQ,Palred Technologies Limited,BE,09-MAY-2016,10,1,INE218G01033,10
NSE:PANACEABIO-EQ,Panacea Biotec Limited,EQ,17-APR-1996,1,1,INE922B01023,1
