SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:JOCIL-EQ,Jocil Limited,EQ,08-OCT-2008,10,1,INE839G01010,10
NSE:JPOLYINVST-EQ,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10,1,INE147P01019,10
NSE:JPPOWER-EQ,Jaiprakash Power Ventures Limited,EQ,18-APR-2005,10,1,INE351F01018,10
NSE:JSFB-EQ,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE953L01027,10
NSE:JSL-EQ,Jindal Stainless Limited,EQ,17-NOV-2003,2,1,INE220G01021,2
NSE:JSLL-EQ,Jeena Sikho Lifecare Limited,EQ,11-AUG-2025,2,1,INE0J5801029,2
NSE:JSWCEMENT-EQ,JSW Cement Limited,EQ,14-AUG-2025,10,1,INE718I01012,10
NSE:JSWENERGY-EQ,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10
NSE:JSWHL-EQ,JSW Holdings Limited,EQ,21-JUN-2005,10,1,INE824G01012,10
NSE:JSWINFRA-EQ,JSW Infrastructure Limited,EQ,03-OCT-2023,2,1,INE880J01026,2
NSE:JSWSTEEL-EQ,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1
NSE:JTEKTINDIA-EQ,Jtekt India Limited,EQ,12-JAN-2004,1,1,INE643A01035,1
NSE:JTLIND-EQ,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,1,1,INE391J01032,1
NSE:JUBLCPL-EQ,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025,10,1,INE03CC01015,10
NSE:JUBLFOOD-EQ,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2
NSE:JUBLINGREA-EQ,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1,1,INE0BY001018,1
NSE:JUBLPHARMA-EQ,Jubilant Pharmova Limited,EQ,16-JUN-2003,1,1,INE700A01033,1
NSE:JUNIPER-EQ,Juniper Hotels Limited,EQ,28-FEB-2024,10,1,INE696F01016,10
NSE:JUSTDIAL-EQ,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10
NSE:JWL-EQ,Jupiter Wagons Limited,EQ,18-OCT-2010,10,1,INE209L01016,10
NSE:JYOTHYLAB-EQ,Jyothy Labs Limited,EQ,19-DEC-2007,1,1,INE668F01031,1
NSE:JYOTICNC-EQ,Jyoti CNC Automation Limited,EQ,16-JAN-2024,2,1,INE980O01024,2
NSE:JYOTISTRUC-EQ,Jyoti Structures Limited,EQ,19-JUL-1995,2,1,INE197A01024,2
NSE:KABRAEXTRU-EQ,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5,1,INE900B01029,5
NSE:KAJARIACER-EQ,Kajaria Ceramics Limited,EQ,01-JUN-2004,1,1,INE217B01036,1
NSE:KAKATCEM-EQ,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10,1,INE437B01014,10
NSE:KALAMANDIR-EQ,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,2,1,INE438K01021,2
NSE:KALPATARU-EQ,Kalpataru Limited,EQ,01-JUL-2025,10,1,INE227J01012,10
NSE:KALYANI-EQ,Kalyani Commercials Limited,BE,13-FEB-2017,10,1,INE610E01010,10
NSE:KALYANIFRG-EQ,Kalyani Forge Limited,EQ,20-DEC-2007,10,1,INE314G01014,10
